ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.033,-0.026,1.005,-58.000,-67.000,-130.000,0.000,-0.793,0.061,-0.03,-0.03,0.02
0.034,-0.026,1.007,-58.000,-67.000,-130.000,0.061,-0.854,0.061,-0.03,-0.03,0.02
0.034,-0.023,1.005,-57.000,-65.000,-126.000,0.000,-0.916,0.122,-0.03,-0.02,0.02
0.034,-0.023,1.005,-57.000,-65.000,-126.000,-0.061,-1.038,0.183,-0.03,-0.02,0.02
0.034,-0.026,1.007,-57.000,-65.000,-126.000,0.000,-1.038,0.183,-0.03,-0.02,0.02
0.033,-0.026,1.006,-57.000,-65.000,-126.000,-0.061,-0.854,0.549,-0.03,-0.03,0.03
0.033,-0.025,1.006,-57.000,-65.000,-126.000,0.061,-0.916,0.732,-0.03,-0.02,0.03
0.032,-0.024,1.008,-57.000,-65.000,-126.000,0.000,-0.488,0.244,-0.03,-0.02,0.03
0.033,-0.023,1.008,-56.000,-65.000,-128.000,0.000,0.366,0.000,-0.03,-0.02,0.03
0.034,-0.024,1.004,-56.000,-65.000,-128.000,0.000,-0.549,0.061,-0.03,-0.02,0.03
0.035,-0.027,1.001,-56.000,-65.000,-128.000,-0.061,-1.770,0.244,-0.03,-0.03,0.03
0.033,-0.023,1.009,-56.000,-65.000,-128.000,-0.061,-4.395,1.465,-0.03,-0.02,0.03
0.028,-0.024,1.010,-56.000,-65.000,-128.000,0.000,-3.113,0.732,-0.03,-0.02,0.03
0.029,-0.025,1.008,-57.000,-63.000,-128.000,-0.061,-0.122,-0.061,-0.03,-0.02,0.03
0.029,-0.026,1.005,-57.000,-63.000,-128.000,-0.122,0.549,-0.122,-0.03,-0.03,0.03
0.030,-0.025,1.004,-57.000,-63.000,-128.000,-0.061,-0.061,0.122,-0.03,-0.02,0.03
0.030,-0.024,1.004,-57.000,-63.000,-128.000,-0.061,-0.977,0.122,-0.03,-0.02,0.03
0.030,-0.026,1.007,-57.000,-63.000,-128.000,-0.061,-2.258,0.366,-0.03,-0.03,0.03
0.030,-0.023,1.007,-58.000,-68.000,-127.000,-0.061,-2.319,0.732,-0.03,-0.02,0.03
0.029,-0.023,1.009,-58.000,-68.000,-127.000,-0.061,-1.892,-0.244,-0.03,-0.02,0.03
0.027,-0.025,1.009,-58.000,-68.000,-127.000,0.000,-1.160,-0.366,-0.03,-0.02,0.03
0.027,-0.025,1.006,-58.000,-68.000,-127.000,0.000,0.000,-0.305,-0.03,-0.02,0.03
0.028,-0.024,1.003,-58.000,-68.000,-127.000,-0.061,-0.549,-0.427,-0.03,-0.02,0.03
0.027,-0.023,1.005,-55.000,-64.000,-129.000,-0.122,-2.380,-0.305,-0.03,-0.02,0.03
0.027,-0.026,1.007,-55.000,-64.000,-129.000,-0.061,-3.662,0.000,-0.03,-0.02,0.03
0.024,-0.026,1.002,-55.000,-64.000,-129.000,-0.061,-3.723,0.671,-0.03,-0.03,0.03
0.024,-0.026,1.000,-55.000,-64.000,-129.000,-0.061,-6.042,1.465,-0.03,-0.03,0.03
0.025,-0.024,1.005,-55.000,-64.000,-129.000,-0.183,-8.911,1.526,-0.03,-0.02,0.03
0.018,-0.023,1.007,-55.000,-64.000,-129.000,-0.122,-9.460,1.282,-0.03,-0.02,0.03
0.012,-0.024,1.014,-55.000,-69.000,-125.000,0.244,-6.958,0.793,-0.03,-0.02,0.03
0.014,-0.026,1.005,-55.000,-69.000,-125.000,0.916,-5.066,2.258,-0.02,-0.02,0.03
0.009,-0.026,1.012,-55.000,-69.000,-125.000,1.404,-7.080,2.686,-0.02,-0.02,0.03
0.012,-0.027,1.013,-55.000,-69.000,-125.000,0.732,-3.723,4.150,-0.02,-0.02,0.03
0.014,-0.018,1.005,-55.000,-69.000,-125.000,-0.122,0.183,6.042,-0.02,-0.02,0.03
0.004,-0.025,1.007,-53.000,-69.000,-126.000,0.122,-0.488,4.517,-0.02,-0.02,0.03
0.004,-0.026,1.008,-53.000,-69.000,-126.000,0.000,-0.366,1.709,-0.02,-0.02,0.03
0.008,-0.027,1.007,-53.000,-69.000,-126.000,0.061,-0.427,-0.244,-0.02,-0.02,0.03
0.014,-0.026,1.005,-53.000,-69.000,-126.000,0.183,-0.854,1.709,-0.01,-0.03,0.03
0.005,-0.024,1.006,-53.000,-69.000,-126.000,0.000,-0.305,3.113,-0.01,-0.03,0.03
0.005,-0.026,1.007,-55.000,-68.000,-125.000,-0.061,-0.183,0.122,-0.01,-0.03,0.03
0.010,-0.027,1.008,-55.000,-68.000,-125.000,-0.061,-0.305,-0.183,-0.01,-0.03,0.03
0.009,-0.027,1.007,-55.000,-68.000,-125.000,-0.122,-0.244,0.000,-0.01,-0.03,0.03
0.009,-0.024,1.006,-55.000,-68.000,-125.000,0.000,-0.183,0.061,-0.01,-0.02,0.03
0.010,-0.025,1.005,-55.000,-68.000,-125.000,0.000,-0.183,-0.366,-0.01,-0.03,0.03
0.011,-0.024,1.006,-54.000,-72.000,-128.000,-0.061,-0.366,1.404,-0.01,-0.02,0.03
0.004,-0.024,1.008,-54.000,-72.000,-128.000,0.061,-0.244,1.465,-0.01,-0.02,0.03
0.010,-0.029,1.008,-54.000,-72.000,-128.000,0.061,-0.183,0.610,-0.01,-0.03,0.03
0.009,-0.029,1.007,-54.000,-72.000,-128.000,0.244,-0.366,2.502,-0.01,-0.03,0.03
0.017,-0.025,1.008,-54.000,-72.000,-128.000,0.122,-0.244,2.136,-0.01,-0.03,0.03
0.007,-0.023,1.007,-58.000,-70.000,-125.000,-0.122,0.000,0.000,-0.01,-0.03,0.03
0.001,-0.022,1.006,-58.000,-70.000,-125.000,-0.122,-0.061,-0.916,-0.01,-0.02,0.03
0.009,-0.027,1.008,-58.000,-70.000,-125.000,-0.061,-0.061,-1.099,-0.01,-0.03,0.03
0.009,-0.029,1.007,-58.000,-70.000,-125.000,0.061,-0.244,-0.244,-0.01,-0.03,0.03
0.020,-0.026,1.007,-58.000,-70.000,-125.000,0.061,-0.244,0.244,-0.01,-0.03,0.03
-0.001,-0.024,1.005,-58.000,-70.000,-125.000,-0.183,-0.061,-0.061,-0.01,-0.03,0.03
0.004,-0.022,1.008,-53.000,-67.000,-121.000,-0.122,-0.122,0.122,-0.01,-0.03,0.03
0.010,-0.028,1.007,-53.000,-67.000,-121.000,0.000,-0.183,-0.488,-0.01,-0.03,0.03
0.010,-0.028,1.006,-53.000,-67.000,-121.000,0.000,-0.183,-0.122,-0.01,-0.03,0.03
0.009,-0.025,1.007,-53.000,-67.000,-121.000,-0.061,-0.183,-0.183,-0.01,-0.03,0.03
0.008,-0.024,1.007,-53.000,-67.000,-121.000,-0.061,-0.122,-0.244,-0.01,-0.03,0.03
0.009,-0.027,1.006,-53.000,-68.000,-126.000,0.061,-0.122,-0.183,-0.01,-0.03,0.03
0.009,-0.025,1.007,-53.000,-68.000,-126.000,0.000,-0.183,-0.061,-0.01,-0.03,0.03
0.007,-0.027,1.007,-53.000,-68.000,-126.000,-0.061,-0.122,-0.183,-0.01,-0.03,0.03
0.008,-0.026,1.006,-53.000,-68.000,-126.000,0.000,-0.122,0.000,-0.01,-0.02,0.03
0.008,-0.026,1.007,-53.000,-68.000,-126.000,-0.061,-0.183,0.183,-0.01,-0.03,0.03
0.008,-0.026,1.007,-54.000,-69.000,-126.000,-0.061,-0.122,-0.061,-0.01,-0.03,0.03
0.009,-0.025,1.007,-54.000,-69.000,-126.000,0.000,-0.183,-0.061,-0.01,-0.03,0.03
0.011,-0.026,1.006,-54.000,-69.000,-126.000,0.000,-0.122,0.122,-0.01,-0.03,0.03
0.010,-0.025,1.006,-54.000,-69.000,-126.000,-0.061,-0.061,0.122,-0.01,-0.02,0.03
0.008,-0.024,1.007,-54.000,-69.000,-126.000,0.061,-0.122,0.183,-0.01,-0.02,0.03
0.009,-0.026,1.007,-55.000,-70.000,-125.000,0.061,-0.122,0.183,-0.01,-0.03,0.03
0.008,-0.026,1.006,-55.000,-70.000,-125.000,0.000,-0.183,0.122,-0.01,-0.03,0.03
