delta,ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.101,0.985,-0.397,0.125,-13.000,-46.000,-13.000,-0.200,0.690,-2.675,-0.89,0.16,2.46
0.101,0.908,-0.291,0.066,-19.000,-40.000,-9.000,0.161,0.279,-1.345,-0.89,-0.02,2.24
0.101,0.854,-0.429,0.051,-21.000,-35.000,-12.000,0.445,0.179,-1.114,-0.87,-0.18,2.08
0.101,0.801,-0.609,-0.050,-28.000,-31.000,-18.000,0.354,0.370,-1.273,-0.82,-0.32,1.92
0.101,0.739,-0.851,-0.031,-25.000,-26.000,-19.000,-0.068,0.333,-1.579,-0.74,-0.43,1.74
0.101,0.640,-0.972,-0.191,-31.000,-24.000,-18.000,-0.001,0.538,-1.579,-0.63,-0.51,1.60
0.101,0.513,-0.973,-0.273,-33.000,-20.000,-22.000,-0.699,0.932,-1.028,-0.52,-0.45,1.55
0.101,0.501,-1.167,-0.346,-32.000,-13.000,-21.000,-0.531,1.301,0.580,-0.43,-0.33,1.68
0.101,0.614,-0.870,-0.274,-30.000,-20.000,-21.000,-0.052,0.637,1.866,-0.44,-0.22,1.91
0.100,0.690,-0.374,-0.273,-24.000,-27.000,-18.000,0.542,0.573,1.626,-0.43,-0.18,2.10
0.101,0.798,-0.547,-0.289,-20.000,-30.000,-26.000,0.672,0.054,1.188,-0.46,-0.18,2.23
0.101,0.876,-0.422,-0.293,-16.000,-31.000,-26.000,0.594,0.010,1.301,-0.50,-0.17,2.38
0.091,0.876,-0.267,-0.405,-14.000,-37.000,-28.000,0.499,-0.147,1.229,-0.55,-0.15,2.50
0.101,0.922,-0.143,-0.366,-8.000,-40.000,-26.000,0.663,-0.450,1.156,-0.63,-0.14,2.62
0.101,0.939,0.138,-0.313,-7.000,-41.000,-19.000,0.023,-0.828,0.983,-0.74,-0.08,2.73
0.101,1.043,0.235,-0.031,-3.000,-44.000,-18.000,-0.118,-0.876,0.418,-0.85,-0.05,2.76
0.101,0.944,0.122,-0.213,-2.000,-44.000,-20.000,-0.064,-0.454,-0.109,-0.91,-0.07,2.72
0.101,0.957,0.109,-0.022,-3.000,-47.000,-16.000,0.000,-1.044,-0.502,-1.02,-0.17,2.59
0.100,0.933,-0.002,-0.167,-7.000,-45.000,-13.000,-0.003,-0.844,-0.744,-1.09,-0.34,2.38
0.101,0.883,0.380,-0.164,-6.000,-48.000,-4.000,-0.045,-1.062,-0.165,-1.19,-0.50,2.19
0.101,0.840,0.262,0.228,-10.000,-49.000,4.000,0.203,-1.550,-1.213,-1.21,-1.05,1.61
0.101,0.847,0.019,0.433,-16.000,-46.000,6.000,0.317,-0.816,-1.084,-1.14,-1.32,1.34
0.101,0.738,-0.048,0.428,-23.000,-44.000,8.000,0.017,-0.566,-1.567,-1.00,-1.44,1.19
0.101,0.643,-0.432,0.592,-28.000,-43.000,13.000,-0.187,-0.578,-2.150,-0.80,-1.50,1.08
0.101,0.504,-0.574,0.473,-31.000,-32.000,11.000,-0.142,-0.152,-1.840,-0.62,-1.50,1.05
0.101,0.452,-0.912,0.570,-35.000,-23.000,11.000,-0.113,-0.108,-1.186,-0.51,-1.50,1.03
0.101,0.368,-0.819,0.471,-36.000,-18.000,12.000,-0.098,0.045,-1.146,-0.41,-1.48,1.03
0.100,0.322,-0.801,0.518,-36.000,-15.000,8.000,0.070,-0.027,-0.814,-0.34,-1.49,1.03
0.101,0.265,-0.833,0.473,-36.000,-12.000,10.000,-0.017,0.192,-0.960,-0.24,-1.48,1.04
0.091,0.172,-0.658,0.413,-36.000,-6.000,8.000,0.513,0.163,-0.978,-0.16,-1.52,1.05
0.100,0.135,-0.894,0.436,-35.000,-2.000,14.000,0.124,0.418,-0.524,-0.11,-1.52,1.10
0.100,0.129,-0.849,0.432,-33.000,-1.000,8.000,0.079,0.331,-0.445,-0.06,-1.52,1.14
